unique_id,Chosen_Model,Chosen_MAPE
store_1,rf_exog,0.07814941422181211
store_10,rf_exog,0.03695556973069885
store_100,rf_exog,0.05273838517990637
store_11,rf_exog,0.04387345556796365
store_12,rf_exog,0.04901837941898137
store_13,rf_exog,0.05316069123587097
store_14,rf_exog,0.05131230629943645
store_15,rf_exog,0.03603956193683187
store_16,rf_exog,0.061857420455170765
store_17,rf_exog,0.0636585904209809
store_18,rf_exog,0.04279024063925927
store_19,rf_exog,0.08496757646574078
store_2,rf_exog,0.05656231201043982
store_20,rf_exog,0.05368994536312727
store_21,rf_exog,0.04715093495389827
store_22,rf_exog,0.10051397595342204
store_23,rf_exog,0.05848868094464806
store_24,SNaive,0.1987367930509907
store_25,rf_exog,0.10427761588616667
store_26,rf_exog,0.04686607405599108
store_27,rf_exog,0.05537565404482641
store_28,rf_exog,0.050953170090971917
store_29,rf_exog,0.031839970854949204
store_3,rf_exog,0.0569225382289603
store_30,rf_exog,0.07336786175673897
store_31,rf_exog,0.06346975223386644
store_32,rf_exog,0.0638190447552504
store_33,rf_exog,0.05815179434538351
store_34,rf_exog,0.04823432396609761
store_35,rf_exog,0.0841970370763299
store_36,rf_exog,0.0495886977336838
store_37,rf_exog,0.08190343692876778
store_38,rf_exog,0.06558129384253536
store_39,rf_exog,0.04824469344901338
store_4,rf_exog,0.06903289069003359
store_40,rf_exog,0.04264586308862631
store_41,SNaive,0.10309414699627177
store_42,rf_exog,0.04788478698881619
store_43,rf_exog,0.04882821362633897
store_44,rf_exog,0.0644548293429701
store_45,rf_exog,0.078250878824362
store_46,rf_exog,0.04937009330040606
store_47,rf_exog,0.0640186616709334
store_48,rf_exog,0.05241468239189479
store_49,rf_exog,0.05301901795789519
store_5,rf_exog,0.04002667400384529
store_50,rf_exog,0.05118097312934858
store_51,rf_exog,0.058941055928889124
store_52,rf_exog,0.09600267684258242
store_53,rf_exog,0.05267426533913996
store_54,rf_exog,0.04797108230127748
store_55,rf_exog,0.05535490273896779
store_56,rf_exog,0.04921192752478129
store_57,rf_exog,0.06966057213644632
store_58,rf_exog,0.04800215044760123
store_59,rf_exog,0.05813639307123133
store_6,rf_exog,0.0496014334634357
store_60,rf_exog,0.03598019651919703
store_61,rf_exog,0.057058837575053506
store_62,rf_exog,0.07371619721998175
store_63,rf_exog,0.05694968090889379
store_64,rf_exog,0.04030985458961062
store_65,rf_exog,0.048510428019304073
store_66,rf_exog,0.0803285202358321
store_67,rf_exog,0.054167912328388836
store_68,rf_exog,0.05665857593456136
store_69,rf_exog,0.08072806681512178
store_7,rf_exog,0.054530279113022655
store_70,rf_exog,0.07937208907687558
store_71,rf_exog,0.056188937349038154
store_72,rf_exog,0.0429981442401464
store_73,rf_exog,0.09750930126402267
store_74,rf_exog,0.06368079541247171
store_75,rf_exog,0.08083258869488245
store_76,rf_exog,0.049187525360952715
store_77,rf_exog,0.06832269999526396
store_78,rf_exog,0.07893703291091902
store_79,rf_exog,0.04950768581904397
store_8,rf_exog,0.056592844771124674
store_80,rf_exog,0.03977757886559899
store_81,rf_exog,0.051127763889871856
store_82,rf_exog,0.06282889469484042
store_83,rf_exog,0.04825991317550577
store_84,rf_exog,0.05137829120087051
store_85,rf_exog,0.04881303632253602
store_86,rf_exog,0.05071370476893605
store_87,rf_exog,0.043053036787752075
store_88,rf_exog,0.0688356589365667
store_89,rf_exog,0.04008077312052416
store_9,rf_exog,0.060090768748521345
store_90,rf_exog,0.04661111456110844
store_91,rf_exog,0.04288200969842976
store_92,rf_exog,0.04792532457247759
store_93,rf_exog,0.043275672892680334
store_94,rf_exog,0.055463990428563974
store_95,rf_exog,0.05486629368327058
store_96,rf_exog,0.0492378544575921
store_97,rf_exog,0.06575368027933402
store_98,rf_exog,0.07322226269036074
store_99,rf_exog,0.054662385429593396
